Timestamp,Interface,kbps_In,kbps_Out,Total_MB_In,Total_MB_Out
2026-04-04 09:50:50,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:50,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:50,ether5-LAN,11.98,101.31,355.73,1756.04
2026-04-04 09:50:51,ether1-Starlink,0.54,0.54,1166.16,281.61
2026-04-04 09:50:51,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:51,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:51,ether5-LAN,8.17,85.41,355.73,1756.05
2026-04-04 09:50:52,ether1-Starlink,30.37,36.22,1166.17,281.61
2026-04-04 09:50:52,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:52,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:52,ether5-LAN,20.5,116.58,355.73,1756.07
2026-04-04 09:50:53,ether1-Starlink,10.32,8.9,1166.17,281.62
2026-04-04 09:50:53,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:53,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:53,ether5-LAN,42.98,119.26,355.74,1756.08
2026-04-04 09:50:54,ether1-Starlink,10.12,7.51,1166.17,281.62
2026-04-04 09:50:54,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:54,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:54,ether5-LAN,17.67,116.34,355.74,1756.1
2026-04-04 09:50:55,ether1-Starlink,1.46,12.99,1166.17,281.62
2026-04-04 09:50:55,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:55,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:55,ether5-LAN,8.86,94.9,355.74,1756.11
2026-04-04 09:50:56,ether1-Starlink,0.51,0.51,1166.17,281.62
2026-04-04 09:50:56,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:56,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:56,ether5-LAN,10.05,104.51,355.74,1756.12
2026-04-04 09:50:57,ether1-Starlink,2.67,1.67,1166.17,281.62
2026-04-04 09:50:57,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:57,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:57,ether5-LAN,10.45,99.7,355.74,1756.13
2026-04-04 09:50:58,ether1-Starlink,1.68,3.71,1166.17,281.62
2026-04-04 09:50:58,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:58,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:58,ether5-LAN,12.98,110.45,355.75,1756.15
2026-04-04 09:50:59,ether1-Starlink,2.31,2.95,1166.17,281.62
2026-04-04 09:50:59,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:59,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:59,ether5-LAN,10.5,82.67,355.75,1756.16
2026-04-04 09:51:00,ether1-Starlink,0.99,1.53,1166.17,281.62
2026-04-04 09:51:00,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:51:00,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:51:00,ether5-LAN,10.69,94.83,355.75,1756.17
2026-04-04 09:51:02,ether1-Starlink,1.63,1.62,1166.17,281.62
2026-04-04 09:51:02,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:51:02,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:51:02,ether5-LAN,9.89,88.01,355.75,1756.18
2026-04-04 09:51:03,ether1-Starlink,1.06,1.07,1166.17,281.62
2026-04-04 09:51:03,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:51:03,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:51:03,ether5-LAN,11.19,94.99,355.75,1756.19
2026-04-04 09:51:04,ether1-Starlink,1.63,1.79,1166.17,281.62
2026-04-04 09:51:04,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:51:04,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:51:04,ether5-LAN,9.68,84.11,355.75,1756.2
2026-04-04 09:51:05,ether1-Starlink,5.16,3.78,1166.17,281.62
2026-04-04 09:51:05,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:51:05,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:51:05,ether5-LAN,22.74,198.0,355.75,1756.23
2026-04-04 09:51:06,ether1-Starlink,7.59,1.69,1166.17,281.62
2026-04-04 09:51:06,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:51:06,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:51:06,ether5-LAN,11.19,91.78,355.76,1756.24
2026-04-04 09:51:07,ether1-Starlink,4.18,1.12,1166.17,281.62
2026-04-04 09:51:07,ether2-VSAT,0.0,0.0,0.0,0.0
